Movie,Votes,Director,Stars,Description
Dead Ant,110,Ron Carlson,"Tom Arnold,Sean Astin,Martin Blasick,Natasha Blasick","When the 1989 ""one-hit-wonder"" glam-metal band ""Sonic Grave"" embark on a trip to Coachella in hopes of a comeback, their peyote trip pit stop in Joshua Tree incites an ""unworldly"" viscous ...                See full summary »"
Brawl in Cell Block 99,40635,S. Craig Zahler,"Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier",A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.
The Glass Castle,21554,Destin Daniel Cretton,"Brie Larson,Woody Harrelson,Naomi Watts,Ella Anderson",A young girl comes of ae in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.
Hot Summer Nights,6525,Elijah Bynum,"Timothée Chalamet,Maika Monroe,Alex Roe,Emory Cohen","Circa 1980s, a sheltered teenage boy comes of age during a wild summer he spends in Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head."
Den 12. mann,9780,Harald Zwart,"Thomas Gullestad,Jonathan Rhys Meyers,Marie Blokhus,Mads Sjøgård Pettersen",They were 12 saboteurs. The Nazis killed 11 of them. This is the true story of the one who got away...
Stronger,31236,David Gordon Green,"Jake Gyllenhaal,Tatiana Maslany,Miranda Richardson,Richard Lane Jr.","Stronger is the inspiring real life story of Jeff Bauman, an ordinary man who captured the hearts of his city and the world to become a symbol of hope after surviving the 2013 Boston Marathon bombing."
A Dog's Purpose,50238,Lasse Hallström,"Josh Gad,Dennis Quaid,Peggy Lipton,Bryce Gheisar",A dog looks to discover his purpose in life over the course of several lifetimes and owners.
Suburbicon,29518,George Clooney,"Matt Damon,Julianne Moore,Oscar Isaac,Noah Jupe","As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family."
"Roman J. Israel, Esq.",21772,Dan Gilroy,"Denzel Washington,Colin Farrell,Carmen Ejogo,Lynda Gravatt","Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action."
Cars 3,55196,Brian Fee,"Owen Wilson,Cristela Alonzo,Chris Cooper,Nathan Fillion",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
CHIPS,34705,Dax Shepard,"Michael Peña,Dax Shepard,Vincent D'Onofrio,Rosa Salazar","A rookie officer is teamed with a hardened pro at the California Highway Patrol, though the newbie soon learns his partner is really an undercover Fed investigating a heist that may involve some crooked cops."
Mary Shelley,6690,Haifaa Al-Mansour,"Ben Hardy,Elle Fanning,Maisie Williams,Bel Powley","Life and facts of Mary Wollstonecraft Godwin, who at 16 met 21 year old poet Percy Shelley, resulting in the writing of Frankenstein."
A Prayer Before Dawn,12579,Jean-Stéphane Sauvaire,"Joe Cole,Pornchanok Mabklang,Panya Yimmumphai,Vithaya Pansringarm",The true story of an English boxer incarcerated in one of Thailand's most notorious prisons as he fights in Muay Thai tournaments to earn his freedom.
Mom and Dad,14429,Brian Taylor,"Nicolas Cage,Selma Blair,Anne Winters,Zackary Arthur",A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.
Newness,8265,Drake Doremus,"Nicholas Hoult,Laia Costa,Danny Huston,Courtney Eaton","In contemporary Los Angeles, two millennials navigating a social media-driven hookup culture begin a relationship that pushes both emotional and physical boundaries."
Fist Fight,33476,Richie Keen,"Ice Cube,Charlie Day,Tracy Morgan,Christina Hendricks","When one school teacher unwittingly causes another teacher's dismissal, he is challenged to an after-school fight."
The Bye Bye Man,16404,Stacy Title,"Douglas Smith,Lucien Laviscount,Cressida Bonas,Michael Trucco",Three friends stumble upon the horrific origins of a mysterious figure they discover is the root cause of the evil behind unspeakable acts.
Chappaquiddick,8582,John Curran,"Jason Clarke,Kate Mara,Ed Helms,Bruce Dern","Depicting Ted Kennedy's involvement in the fatal 1969 car accident that claims the life of a young campaign strategist, Mary Jo Kopechne."
Mudbound,31830,Dee Rees,"Carey Mulligan,Garrett Hedlund,Jonathan Banks,Jason Clarke","Two men return home from World War II to work on a farm in rural Mississippi, where they struggle to deal with racism and adjusting to life after war."
The Book of Henry,18057,Colin Trevorrow,"Naomi Watts,Jaeden Lieberher,Jacob Tremblay,Sarah Silverman","With instructions from her genius son's carefully crafted notebook, a single mother sets out to rescue a young girl from the hands of her abusive stepfather."
Rough Night,37062,Lucia Aniello,"Scarlett Johansson,Kate McKinnon,Zoë Kravitz,Ilana Glazer",Things go terribly wrong for a group of girlfriends who hire a male stripper for a bachelorette party in Miami.
War Machine,33218,David Michôd,"Brad Pitt,Daniel Betts,John Magaro,Emory Cohen","An idiosyncratic General confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuilding operation in Afghanistan."
The Mountain Between Us,54184,Hany Abu-Assad,"Idris Elba,Kate Winslet,Beau Bridges,Dermot Mulroney","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness."
The Boss Baby,89046,Tom McGrath,"Alec Baldwin,Steve Buscemi,Jimmy Kimmel,Lisa Kudrow","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
Girls Trip,27986,Malcolm D. Lee,"Regina Hall,Queen Latifah,Jada Pinkett Smith,Tiffany Haddish","When four lifelong friends travel to New Orleans for the annual Essence Festival, sisterhoods are rekindled, wild sides are rediscovered, and there's enough dancing, drinking, brawling, and romancing to make the Big Easy blush."
To the Bone,30633,Marti Noxon,"Rebekah Kennedy,Lily Collins,Dana L. Wilson,Ziah Colon","A young woman, dealing with anorexia, meets an unconventional doctor who challenges her to face her condition and embrace life."
Jungle,33348,Greg McLean,"Daniel Radcliffe,Yasmin Kassim,Luis Jose Lopez,Lily Sullivan","A group of friends join a guide for a trek into the Bolivian jungle, searching for an Indian village. The men soon realize that the jungle is a difficult place to be."
Breathe,14154,Andy Serkis,"Andrew Garfield,Claire Foy,Hugh Bonneville,Ed Speleers","The inspiring true love story of Robin and Diana Cavendish, an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis."
Goodbye Christopher Robin,18427,Simon Curtis,"Domhnall Gleeson,Margot Robbie,Kelly Macdonald,Vicki Pepperdine","The relationship between writer AA Milne and his son, Christopher Robin, and how this became the inspiration for Winnie the Pooh."
The Square,41622,Ruben Östlund,"Claes Bang,Elisabeth Moss,Dominic West,Terry Notary",A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.
Detroit,38103,Kathryn Bigelow,"John Boyega,Anthony Mackie,Algee Smith,Jacob Latimore",Fact-based drama set during the 1967 Detroit riots in which a group of rogue police officers respond to a complaint with retribution rather than justice on their minds.
Flatliners,31887,Niels Arden Oplev,"Ellen Page,Diego Luna,Nina Dobrev,James Norton","Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife."
Michael Inside,486,Frank Berry,"Dafhyd Flynn,Lalor Roddy,Moe Dunford,Robbie Walsh","An 18 year old man living in a Dublin housing estate with his grandfather, is caught holding drugs for his friend's older brother and is sentenced to 3 months in prison."
A Ghost Story,43856,David Lowery,"Casey Affleck,Rooney Mara,McColm Cephas Jr.,Kenneisha Thompson","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
Home Again,21303,Hallie Meyers-Shyer,"Reese Witherspoon,Michael Sheen,Candice Bergen,Pico Alexander",Life for a single mom in Los Angeles takes an unexpected turn when she allows three young guys to move in with her.
The Shack,24527,Stuart Hazeldine,"Sam Worthington,Octavia Spencer,Tim McGraw,Radha Mitchell","A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack."""
American Renegades,6398,Steven Quale,"J.K. Simmons,Sullivan Stapleton,Charlie Bewley,Sylvia Hoeks",A team of Navy SEALs discover an underwater treasure in a Bosnian lake.
The Children Act,5498,Richard Eyre,"Emma Thompson,Stanley Tucci,Fionn Whitehead,Nikki Amuka-Bird","As her marriage crumbles, a judge must decide a case involving a teenage boy who is refusing a blood transfusion on religious principle."
47 Meters Down,36803,Johannes Roberts,"Mandy Moore,Claire Holt,Matthew Modine,Chris Johnson","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive."
Rings,33023,F. Javier Gutiérrez,"Matilda Anna Ingrid Lutz,Alex Roe,Johnny Galecki,Vincent D'Onofrio",A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.
The Last Movie Star,2466,Adam Rifkin,"Burt Reynolds,Ariel Winter,Clark Duke,Chevy Chase","An aging former movie star is forced to face the reality that his glory days are behind him. On its surface, the film is a tale about faded fame. At its core, it's a universal story about growing old."
Loving Vincent,36681,"Dorota Kobiela,Hugh Welchman","Douglas Booth,Jerome Flynn,Robert Gulaczyk,Helen McCrory","In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there."
Krystal,655,William H. Macy,"Rosario Dawson,Nick Robinson,T.I.,Grant Gustin",A young man living a sheltered life develops a crush on a stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.
A Bad Moms Christmas,31108,"Jon Lucas,Scott Moore","Mila Kunis,Kristen Bell,Kathryn Hahn,Jay Hernandez","As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas."
The Beguiled,40630,Sofia Coppola,"Nicole Kidman,Kirsten Dunst,Elle Fanning,Colin Farrell",The unexpected arrival of a wounded Union soldier at a girls school in Virginia during the American Civil War leads to jealousy and betrayal.
Aterrados,2360,Demián Rugna,"Maximiliano Ghione,Norberto Gonzalo,Elvira Onetto,George L. Lewis","When strange events occur in a neighborhood in Buenos Aires, a doctor specializing in the paranormal, her colleague, and an ex police officer decide to investigate further."
Despicable Me 3,86474,"Kyle Balda,Pierre Coffin,Eric Guillon","Steve Carell,Kristen Wiig,Trey Parker,Miranda Cosgrove","Gru meets his long-lost charming, cheerful, and more successful twin brother Dru who wants to team up with him for one last criminal heist."
My Friend Dahmer,9691,Marc Meyers,"Ross Lynch,Alex Wolff,Anne Heche,Zachary Davis Brown",A young Jeffrey Dahmer struggles to belong in high school.
"Everything, Everything",24932,Stella Meghie,"Amandla Stenberg,Nick Robinson,Anika Noni Rose,Ana de la Reguera",A teenager who's spent her whole life confined to her home falls for the boy next door.
I Kill Giants,21757,Anders Walter,"Madison Wolfe,Zoe Saldana,Imogen Poots,Sydney Wade",Barbara Thorson struggles through life by escaping into a fantasy life of magic and monsters.
Unlocked,21988,Michael Apted,"Noomi Rapace,Orlando Bloom,Toni Collette,John Malkovich",A CIA interrogator is lured into a ruse that puts London at risk of a biological attack.
The Emoji Movie,45071,Tony Leondis,"T.J. Miller,James Corden,Anna Faris,Maya Rudolph","Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
Escape Room,1686,Peter Dukes,"Skeet Ulrich,Sean Young,Christine Donlon,Randy Wayne","four friends who partake in a popular Los Angeles escape room, owned by Brice (Ulrich), and find themselves stuck with a demonically possessed killer. Sean Young plays the keeper of a box ...                See full summary »"
The Layover,9431,William H. Macy,"Kate Upton,Alexandra Daddario,Matt Barr,Matt Jones",Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.
The Man with the Iron Heart,10151,Cédric Jimenez,"Jason Clarke,Rosamund Pike,Jack O'Connell,Jack Reynor","As the German Fascists expand their borders, scorching Europe from end to end, two brave Czechs of the Resistance prepare for a suicide mission to assassinate Reinhard Heydrich, the hideous mastermind behind the ""Final Solution""."
Sleepless,24316,Baran bo Odar,"Jamie Foxx,Michelle Monaghan,Dermot Mulroney,Gabrielle Union",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.
Die Unsichtbaren,584,Claus Räfle,"Max Mauff,Alice Dwyer,Ruby O. Fee,Aaron Altaras","While Joseph Goebbels infamously declared Berlin ""free of Jews"" in 1943, 1,700 managed to survive in the Nazi capital through the end of WWII. The Invisibles traces the stories of four young people who learned to hide in plain sight."
Marrowbone,14659,Sergio G. Sánchez,"George MacKay,Anya Taylor-Joy,Charlie Heaton,Mia Goth","A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
Loving Pablo,11738,Fernando León de Aranoa,"Javier Bardem,Penélope Cruz,Peter Sarsgaard,Julieth Restrepo",A journalist strikes up a romantic relationship with notorious drug lord Pablo Escobar.
Beast,6013,Michael Pearce,"Johnny Flynn,Jessie Buckley,Geraldine James,Trystan Gravelle",A troubled woman living in an isolated community finds herself pulled between the control of her oppressive family and the allure of a secretive outsider suspected of a series of brutal murders.
Crooked House,12298,Gilles Paquet-Brenner,"Max Irons,Stefanie Martini,Glenn Close,Honor Kneafsey","In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets."
Aftermath,17147,Elliott Lester,"Arnold Schwarzenegger,Scoot McNairy,Maggie Grace,Judah Nelson",Two strangers' lives become inextricably bound together after a devastating plane crash.
Wonder Wheel,18458,Woody Allen,"Justin Timberlake,Juno Temple,Robert C. Kirk,Kate Winslet","On Coney Island in the 1950s, a lifeguard tells the story of a middle-aged carousel operator, his beleaguered wife, and the visitor who turns their lives upside-down."
The Hero,6437,Brett Haley,"Sam Elliott,Laura Prepon,Krysten Ritter,Nick Offerman",An ailing movie star comes to terms with his past and mortality.
Table 19,21893,Jeffrey Blitz,"Anna Kendrick,Lisa Kudrow,Craig Robinson,Stephen Merchant","Eloise, having been relieved of maid of honor duties after being unceremoniously dumped by the best man via text, decides to attend the wedding anyway, only to find herself seated with five fellow unwanted guests at the dreaded Table 19."
Professor Marston and the Wonder Women,16507,Angela Robinson,"Luke Evans,Rebecca Hall,Bella Heathcote,Connie Britton","The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman."
Tulip Fever,14005,Justin Chadwick,"Alicia Vikander,Dane DeHaan,Jack O'Connell,Holliday Grainger",An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of 17th century Amsterdam.
In the Fade,20007,Fatih Akin,"Numan Acar,Adam Bousdoukos,Diane Kruger,Denis Moschitto","Katja's life collapses after the death of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge."
Song to Song,14884,Terrence Malick,"Ryan Gosling,Rooney Mara,Michael Fassbender,Natalie Portman","Two intersecting love triangles. Obsession and betrayal set against the music scene in Austin, Texas."
Father Figures,13193,Lawrence Sher,"Owen Wilson,Ed Helms,Glenn Close,Robert Jon Mello","Upon learning that their mother has been lying to them for years about their allegedly deceased father, two fraternal twin brothers hit the road in order to find him."
"Literally, Right Before Aaron",1576,Ryan Eggold,"Peter Gallagher,Cobie Smulders,Kristen Schaal,Justin Long","Still reeling from his breakup with college sweetheart Allison, Adam's world is thrown into further chaos when he's surprisingly invited to attend her wedding."
I Don't Feel at Home in This World Anymore.,35990,Macon Blair,"Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey,Jared Roylance","When a depressed woman is burglarized, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbor. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals."
Bodied,2570,Joseph Kahn,"Calum Worthy,Jackie Long,Rory Uphold,Jonathan Park",A progressive graduate student finds success and sparks outrage when his interest in battle rap as a thesis subject becomes a competitive obsession.
The Vanishing of Sidney Hall,6580,Shawn Christensen,"Yahya Abdul-Mateen II,Michelle Monaghan,Elle Fanning,Logan Lerman","Sidney Hall finds accidental success and unexpected love at an early age, then disappears without a trace."
Submergence,4863,Wim Wenders,"James McAvoy,Alicia Vikander,Celyn Jones,Alexander Siddig","In a room with no windows on the eastern coast of Africa, a Scotsman, James More, is held captive by jihadist fighters. Thousands of miles away in the Greenland Sea, Danielle Flinders ...                See full summary »"
Leatherface,15485,"Alexandre Bustillo,Julien Maury","Stephen Dorff,Lili Taylor,Sam Strike,Vanessa Grasse","A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
Journey's End,4746,Saul Dibb,"Paul Bettany,Sam Claflin,Stephen Graham,Tom Sturridge","Set in a dugout in Aisne in 1918, it is the story of a group of British officers, led by the mentally disintegrating young officer Stanhope, as they await their fate."
Destruction Los Angeles,833,Tibor Takács,"Craig Sheffer,Cynthia Watros,Romeo Miller,Emmanuelle Vaugier","A fatal explosion and sudden earthquake rock Los Angeles, and reporter John Benson seizes his chance to cover the breaking news of increasing seismic activity."
The Lego Ninjago Movie,17111,"Charlie Bean,Paul Fisher,Bob Logan","Jackie Chan,Dave Franco,Fred Armisen,Kumail Nanjiani","Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas."
Beyond Skyline,14497,Liam O'Donnell,"Frank Grillo,Bojana Novakovic,Jonny Weston,Callan Mulvey",A tough-as-nails detective embarks on a relentless pursuit to free his son from a nightmarish alien warship.
Verónica,27137,Paco Plaza,"Sandra Escacena,Bruna González,Claudia Placer,Iván Chavero","Madrid, 1991. A teen girl finds herself besieged by an evil supernatural force after she played Ouija with two classmates."
The House,31270,Andrew Jay Cohen,"Will Ferrell,Amy Poehler,Ryan Simpkins,Jason Mantzoukas","After the town takes away their daughter's college scholarship, a couple start an illegal casino in their friend's house to make back the money."
Amar,2256,Esteban Crespo,"María Pedraza,Pol Monen,Natalia Tena,Greta Fernández","Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later."
Borg vs. McEnroe,19352,Janus Metz,"Sverrir Gudnason,Shia LaBeouf,Stellan Skarsgård,Tuva Novotny",The story of the 1980 tennis rivalry between the placid Björn Borg and the volatile John McEnroe.
God's Own Country,16164,Francis Lee,"Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path."
Once Upon a Time in Venice,13763,Mark Cullen,"Bruce Willis,John Goodman,Jason Momoa,Emily Robinson",A Los Angeles detective seeks out the ruthless gang that stole his dog.
Singularity,11875,Robert Kouba,"Julian Schaffner,John Cusack,Carmen Argenziano,Eileen Grubba","In 2020, Elias van Dorne (John Cusack), CEO of VA Industries, the world's largest robotics company, introduces his most powerful invention--Kronos, a super computer designed to end all wars...                See full summary »"
Perfectos desconocidos,8448,Álex de la Iglesia,"Belén Rueda,Eduard Fernández,Ernesto Alterio,Juana Acosta","Seven friends gather for dinner and decide to play a game in which all incoming messages and calls will be on display for the entire group, leading to a series of revelations that gradually unravels their 'normal' lives."
Going in Style,62496,Zach Braff,"Michael Caine,Alan Arkin,Ann-Margret,Matt Dillon","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money."
2:22,15455,Paul Currie,"Teresa Palmer,Michiel Huisman,Remy Hii,Sam Reid","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m."
D'après une histoire vraie,3084,Roman Polanski,"Emmanuelle Seigner,Eva Green,Vincent Perez,Dominique Pinon","A writer goes through a tough period after the release of her latest book, as she gets involved with an obsessive admirer."
The Meyerowitz Stories (New and Selected),28538,Noah Baumbach,"Adam Sandler,Grace Van Patten,Dustin Hoffman,Elizabeth Marvel",An estranged family gathers together in New York City for an event celebrating the artistic work of their father.
Woman Walks Ahead,3025,Susanna White,"Jessica Chastain,Louisa Krause,Boots Southerland,Chaske Spencer","Catherine Weldon, a portrait painter from 1890s Brooklyn, travels to Dakota to paint a portrait of Sitting Bull and becomes embroiled in the Lakota peoples' struggle over the rights to their land."
The Yellow Birds,2231,Alexandre Moors,"Jennifer Aniston,Alden Ehrenreich,Toni Collette,Tye Sheridan","Two young soldiers, Bartle (21) and Murph (18) navigate the terrors of the Iraq war under the command of the older, troubled Sergeant Sterling. All the while, Bartle is tortured by a promise he made to Murph's mother before their deployment."
Flower,4465,Max Winkler,"Zoey Deutch,Kathryn Hahn,Tim Heidecker,Adam Scott",A sexually curious teen forms an unorthodox kinship with her mentally unstable stepbrother.
Ingrid Goes West,25550,Matt Spicer,"Aubrey Plaza,Elizabeth Olsen,O'Shea Jackson Jr.,Wyatt Russell",An unhinged social media stalker moves to LA and insinuates herself into the life of an Instagram star.
The Current War,539,Alfonso Gomez-Rejon,"Tom Holland,Benedict Cumberbatch,Nicholas Hoult,Katherine Waterston",The dramatic story of the cutthroat race between electricity titans Thomas Edison and George Westinghouse to determine whose electrical system would power the modern world.
Lucky,13028,John Carroll Lynch,"Harry Dean Stanton,David Lynch,Ron Livingston,Ed Begley Jr.",The spiritual journey of a ninety-year-old atheist.
The Zookeeper's Wife,29635,Niki Caro,"Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Timothy Radford","The Zookeeper's Wife tells the account of keepers of the Warsaw Zoo, Antonina and Jan Zabinski, who helped save hundreds of people and animals during the German invasion."
Berlin Syndrome,17719,Cate Shortland,"Teresa Palmer,Max Riemelt,Matthias Habich,Emma Bading","A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave."
Prodigy,3773,"Alex Haughey,Brian Vidal","Richard Neil,Savannah Liles,Jolene Andersen,Emilio Palame","A psychologist engages a dangerous, young genius in a battle of wits -- unaware of the supernatural power the girl possesses, or that her life hangs in the balance."
Last Flag Flying,17662,Richard Linklater,"Bryan Cranston,Laurence Fishburne,Steve Carell,J. Quinton Johnson","Thirty years after they served together in Vietnam, a former Navy Corpsman Larry ""Doc"" Shepherd re-unites with his old buddies, former Marines Sal Nealon and Reverend Richard Mueller, to bury his son, a young Marine killed in the Iraq War."
Kamera o tomeru na!,3794,Shin'ichirô Ueda,"Takayuki Hamatsu,Yuzuki Akiyama,Harumi Shuhama,Kazuaki Nagaya","Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies."
Novitiate,2754,Maggie Betts,"Melissa Leo,Lisa Stewart,Alyssa Brindley,Chelsea Lopez","Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality."
Stephanie,3412,Akiva Goldsman,"Shree Crooks,Frank Grillo,Anna Torv,Jonah Beres","After a mysterious global crisis, a young girl is left alone to hide from a malevolent power that stalks her home. Her parents eventually return and the struggle begins to save their daughter."
First Kill,7276,Steven C. Miller,"Bruce Willis,Hayden Christensen,Ty Shelton,Megan Leonard",A Wall Street broker is forced to evade a police chief investigating a bank robbery as he attempts to recover the stolen money in exchange for his son's life.
The Only Living Boy in New York,8071,Marc Webb,"Callum Turner,Kate Beckinsale,Pierce Brosnan,Cynthia Nixon","Adrift in New York City, a recent college graduate's life is upended by his father's mistress."
Thelma,19295,Joachim Trier,"Eili Harboe,Kaya Wilkins,Henrik Rafaelsen,Ellen Dorrit Petersen",A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
The Discovery,23582,Charlie McDowell,"Robert Redford,Mary Steenburgen,Brian McCarthy,Jason Segel","Two years after the afterlife is scientifically proven, a man attempts to help a young woman break away from her dark past."
Thank You for Your Service,9283,Jason Hall,"Miles Teller,Beulah Koale,Joe Cole,Scott Haze","A group of U.S. soldiers returning from Iraq struggle to integrate back into family and civilian life, while living with the memory of a war that threatens to destroy them long after they've left the battlefield."
Smurfs: The Lost Village,14685,Kelly Asbury,"Demi Lovato,Rainn Wilson,Joe Manganiello,Jack McBrayer","In this fully animated, all-new take on the Smurfs, a mysterious map sets Smurfette and her friends Brainy, Clumsy, and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history."
On Chesil Beach,5170,Dominic Cooke,"Billy Howle,Saoirse Ronan,Andy Burse,Rasmus Hardiker","Based on Ian McEwan's novel. In 1962 England, a young couple find their idyllic romance colliding with issues of sexual freedom and societal pressure, leading to an awkward and fateful wedding night."
Victoria & Abdul,23697,Stephen Frears,"Judi Dench,Ali Fazal,Tim Pigott-Smith,Eddie Izzard",Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.
Zama,3359,Lucrecia Martel,"Daniel Giménez Cacho,Lola Dueñas,Matheus Nachtergaele,Juan Minujín","Based on the novel by Antonio Di Benedetto written in 1956, on Don Diego de Zama, a Spanish officer of the seventeenth century settled in Asunción, who awaits his transfer to Buenos Aires."
Dry Blood,135,Kelton Jones,"Clint Carney,Jaymie Valentine,Kelton Jones,Graham Sheldon","In a rural mountain town, an unstable drug addict must unravel a surreal murder mystery as he's terrorized by malevolent ghosts, a deranged sheriff, and the frightening hallucinations from his withdrawal."
The Cured,4627,David Freyne,"Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Stuart Graham","A disease that turns people into zombies has been cured. The once-infected zombies are discriminated against by society and their own families, which causes social issues to arise. This leads to militant government interference."
How to Talk to Girls at Parties,6281,John Cameron Mitchell,"Nicole Kidman,Ruth Wilson,Elle Fanning,Stephen Campbell Moore",An alien touring the galaxy breaks away from her group and meets two young inhabitants of the most dangerous place in the universe: the London suburb of Croydon.
Bleeding Steel,5662,Leo Zhang,"Jackie Chan,Show Lo,Na-Na OuYang,Erica Xia-Hou",A Special Forces Agent is assigned to protect a scientist and his creation from a sinister gang.
Sleepwalker,516,Elliott Lester,"Richard Armitage,Jake Broder,Matthew Del Negro,Devon Drew","Troubled by bouts of sleepwalking and disturbing nightmares, graduate student Sarah Foster goes to her university sleep research center for help. But when she wakes up after her first night...                See full summary »"
Sand Castle,14149,Fernando Coimbra,"Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Glen Powell","The story follows a young soldier, and his introduction into the 2003 invasion of Iraq. Based on true events, it bears witness to the destruction, and horrors of war."
My Cousin Rachel,14802,Roger Michell,"Rachel Weisz,Sam Claflin,Holliday Grainger,Iain Glen","A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms."
Pilgrimage,3388,Brendan Muldowney,"Tom Holland,Richard Armitage,Jon Bernthal,Nikos Karathanos","In 13th century Ireland, a group of monks must escort a sacred relic across an Irish landscape fraught with peril."
Mark Felt: The Man Who Brought Down the White House,8590,Peter Landesman,"Liam Neeson,Diane Lane,Marton Csokas,Tony Goldwyn","The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972."
Shock and Awe,2804,Rob Reiner,"Woody Harrelson,James Marsden,Rob Reiner,Tommy Lee Jones","A group of journalists covering former President George W. Bush's planned invasion of Iraq in 2003 are skeptical of the President's claim that Saddam Hussein has ""weapons of mass destruction."""
Errementari,4982,Paul Urkijo Alijo,"Kandido Uranga,Uma Bracaglia,Eneko Sagardoy,Ramón Aguirre",An orphaned girl discovers that the reclusive Blacksmith is keeping a demon imprisoned in order to avoid paying his debt to the Devil.
Marshall,13371,Reginald Hudlin,"Chadwick Boseman,Josh Gad,Kate Hudson,Sterling K. Brown","The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases."
Hangman,9574,Johnny Martin,"Al Pacino,Karl Urban,Brittany Snow,Joe Anderson",A homicide detective teams up with a criminal profiler to catch a serial killer whose crimes are inspired by the children's game Hangman.
