Movie,Votes,Director,Stars,Description
Life,172522,Daniel Espinosa,"Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
Beauty and the Beast,227854,Bill Condon,"Emma Watson,Dan Stevens,Luke Evans,Josh Gad","A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Transformers: The Last Knight,113029,Michael Bay,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth."
Wind River,159286,Taylor Sheridan,"Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
Coco,253543,"Lee Unkrich,Adrian Molina","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Killing of a Sacred Deer,82281,Yorgos Lanthimos,"Barry G. Bernson,Herb Caillouet,Bill Camp,Raffey Cassidy","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
Hostiles,47771,Scott Cooper,"Scott Shepherd,Rosamund Pike,Ava Cooper,Stella Cooper","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
Murder on the Orient Express,170722,Kenneth Branagh,"Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
What Happened to Monday,79975,Tommy Wirkola,"Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
Mother!,146591,Darren Aronofsky,"Jennifer Lawrence,Javier Bardem,Ed Harris,Michelle Pfeiffer","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
"I, Tonya",129626,Craig Gillespie,"Margot Robbie,Sebastian Stan,Allison Janney,Julianne Nicholson","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
Happy Death Day,73244,Christopher Landon,"Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
The Post,100932,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.
The Death of Stalin,56636,Armando Iannucci,"Steve Buscemi,Simon Russell Beale,Jeffrey Tambor,Andrea Riseborough","Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Josef Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power."
Geostorm,74223,Dean Devlin,"Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara","When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone."
Alien: Covenant,218431,Ridley Scott,"Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Kingsman: The Golden Circle,218379,Matthew Vaughn,"Taron Egerton,Colin Firth,Mark Strong,Channing Tatum","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy."
