Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating
The Super,"Horror, Thriller",90 min,6.0,47
Death Note,"Adventure, Crime, Drama",101 min,4.5,43
Okja,"Action, Adventure, Drama",120 min,7.3,75
The Big Sick,"Comedy, Drama, Romance",120 min,7.6,86
You Get Me,"Crime, Drama, Romance",89 min,4.7,0
Daddy's Home Two,Comedy,100 min,6.0,30
Rebel in the Rye,"Biography, Drama, Romance",106 min,6.7,46
The Circle,"Drama, Sci-Fi, Thriller",110 min,5.3,43
1922,"Crime, Drama, Horror",102 min,6.3,70
War for the Planet of the Apes,"Action, Adventure, Drama",140 min,7.5,82
Jigsaw,"Horror, Mystery, Thriller",92 min,5.8,39
Cold Skin,"Adventure, Horror, Sci-Fi",108 min,6.0,0
Good Time,"Crime, Drama, Thriller",101 min,7.3,80
It Comes at Night,"Horror, Mystery",91 min,6.2,78
Dead Ant,"Adventure, Comedy",87 min,5.1,0
Brawl in Cell Block 99,"Crime, Drama",132 min,7.1,79
The Glass Castle,"Biography, Drama",127 min,7.2,56
Hot Summer Nights,"Comedy, Crime, Drama",107 min,6.4,44
Den 12. mann,"Drama, History, Thriller",135 min,7.4,70
Stronger,"Biography, Drama",119 min,7.0,76
A Dog's Purpose,"Adventure, Comedy, Drama",100 min,7.0,43
Suburbicon,"Comedy, Crime, Drama",105 min,5.6,42
"Roman J. Israel, Esq.","Crime, Drama, Thriller",122 min,6.4,58
Cars 3,"Animation, Adventure, Comedy",102 min,6.8,59
CHIPS,"Action, Comedy, Crime",100 min,6.0,28
Mary Shelley,"Biography, Drama, History",120 min,6.4,49
A Prayer Before Dawn,"Action, Biography, Crime",116 min,6.9,76
Mom and Dad,"Comedy, Horror, Thriller",86 min,5.5,59
Newness,"Drama, Romance",117 min,6.4,50
Fist Fight,Comedy,91 min,5.6,37
The Bye Bye Man,"Drama, Fantasy, Horror",96 min,4.3,37
Chappaquiddick,"Drama, History, Thriller",106 min,6.5,67
Mudbound,"Drama, War",134 min,7.4,85
The Book of Henry,"Crime, Drama, Thriller",105 min,6.6,31
Rough Night,"Comedy, Crime, Thriller",101 min,5.2,51
War Machine,"Comedy, Drama, War",122 min,6.0,56
The Mountain Between Us,"Action, Adventure, Drama",112 min,6.4,48
The Boss Baby,"Animation, Adventure, Comedy",97 min,6.3,50
Girls Trip,"Comedy, Drama",122 min,6.2,71
To the Bone,Drama,107 min,6.9,64
Jungle,"Action, Adventure, Biography",115 min,6.7,48
Breathe,"Biography, Drama, Romance",118 min,7.1,51
Goodbye Christopher Robin,"Biography, Drama",107 min,7.1,54
The Square,"Comedy, Drama",151 min,7.3,73
Detroit,"Crime, Drama, History",143 min,7.4,77
Flatliners,"Drama, Horror, Mystery",109 min,5.2,27
Michael Inside,Drama,96 min,7.3,0
A Ghost Story,"Drama, Fantasy, Romance",92 min,6.8,84
Home Again,"Comedy, Drama, Romance",97 min,5.8,41
The Shack,"Drama, Fantasy",132 min,6.3,32
American Renegades,"Action, Adventure, Crime",106 min,5.4,33
The Children Act,Drama,105 min,6.7,62
47 Meters Down,"Adventure, Drama, Horror",89 min,5.6,52
Rings,"Drama, Horror, Romance",102 min,4.5,25
The Last Movie Star,Drama,94 min,7.0,46
Loving Vincent,"Animation, Biography, Crime",94 min,7.8,62
Krystal,"Comedy, Drama",90 min,5.2,39
A Bad Moms Christmas,"Adventure, Comedy",104 min,5.5,42
The Beguiled,"Drama, Thriller",93 min,6.3,77
Aterrados,Horror,87 min,6.6,0
Despicable Me 3,"Animation, Action, Adventure",89 min,6.3,49
My Friend Dahmer,"Biography, Drama, Horror",107 min,6.3,68
"Everything, Everything","Drama, Romance",96 min,6.4,52
I Kill Giants,"Drama, Fantasy, Thriller",106 min,6.2,74
Unlocked,"Action, Drama, Mystery",98 min,6.2,46
The Emoji Movie,"Animation, Adventure, Comedy",86 min,3.2,12
Escape Room,Horror,86 min,4.3,0
The Layover,"Comedy, Romance",88 min,4.7,15
The Man with the Iron Heart,"Action, Biography, Thriller",120 min,6.4,0
Sleepless,"Action, Crime, Thriller",95 min,5.6,34
Die Unsichtbaren,"Biography, Drama, History",110 min,7.2,60
Marrowbone,"Drama, Horror, Thriller",110 min,6.6,63
Loving Pablo,"Action, Biography, Crime",123 min,6.3,42
Beast,"Crime, Drama, Mystery",107 min,6.8,74
Crooked House,"Crime, Drama, Mystery",115 min,6.3,59
Aftermath,"Drama, Thriller",94 min,5.7,44
Wonder Wheel,Drama,101 min,6.2,45
The Hero,"Comedy, Drama, Romance",96 min,6.5,61
Table 19,"Comedy, Drama, Romance",87 min,5.8,40
Professor Marston and the Wonder Women,"Biography, Drama",108 min,7.1,68
Tulip Fever,"Drama, History, Romance",105 min,6.2,38
In the Fade,"Crime, Drama, Thriller",106 min,7.1,65
Song to Song,"Drama, Music, Romance",129 min,5.7,54
Father Figures,"Adventure, Comedy, Drama",113 min,5.4,22
"Literally, Right Before Aaron","Comedy, Drama",105 min,4.6,28
I Don't Feel at Home in This World Anymore.,"Comedy, Crime, Drama",93 min,6.9,75
Bodied,"Comedy, Drama, Music",120 min,7.2,75
The Vanishing of Sidney Hall,"Drama, Mystery, Romance",119 min,6.9,18
Submergence,"Drama, Romance, Thriller",112 min,5.4,38
Leatherface,"Crime, Horror, Thriller",90 min,5.0,40
Journey's End,"Drama, War",107 min,6.6,73
Destruction Los Angeles,"Action, Adventure",93 min,5.5,0
The Lego Ninjago Movie,"Animation, Action, Adventure",101 min,6.0,55
Beyond Skyline,"Action, Adventure, Horror",106 min,5.3,46
Verónica,Horror,105 min,6.2,0
The House,"Comedy, Crime",88 min,5.6,30
Amar,"Drama, Romance",105 min,5.3,0
Borg vs. McEnroe,"Biography, Drama, Sport",107 min,7.0,63
God's Own Country,"Drama, Romance",104 min,7.7,85
Once Upon a Time in Venice,"Comedy, Crime, Mystery",94 min,5.3,28
Singularity,"Action, Adventure, Drama",92 min,3.9,0
Perfectos desconocidos,Comedy,97 min,7.0,0
Going in Style,"Comedy, Crime",96 min,6.6,50
2:22,Thriller,98 min,5.8,0
D'après une histoire vraie,"Drama, Mystery, Thriller",100 min,5.7,43
The Meyerowitz Stories (New and Selected),"Comedy, Drama",112 min,6.9,79
Woman Walks Ahead,"Biography, Drama, History",101 min,6.5,51
The Yellow Birds,"Drama, War",94 min,5.7,56
Flower,"Comedy, Drama",90 min,5.9,45
Ingrid Goes West,"Comedy, Drama",98 min,6.6,71
The Current War,"Biography, Drama, History",105 min,6.1,42
Lucky,"Comedy, Drama",88 min,7.4,80
The Zookeeper's Wife,"Biography, Drama, History",127 min,7.0,57
Berlin Syndrome,"Drama, Horror, Mystery",116 min,6.3,70
Prodigy,"Drama, Sci-Fi, Thriller",80 min,6.1,0
Last Flag Flying,"Comedy, Drama, War",125 min,6.9,65
Kamera o tomeru na!,"Comedy, Horror",96 min,8.0,89
Novitiate,Drama,123 min,6.6,73
Stephanie,"Drama, Fantasy, Horror",86 min,5.8,0
First Kill,"Action, Crime, Drama",97 min,4.9,39
The Only Living Boy in New York,Drama,89 min,6.3,33
Thelma,"Drama, Fantasy, Horror",116 min,7.0,74
The Discovery,"Drama, Mystery, Romance",102 min,6.3,54
Thank You for Your Service,"Biography, Drama, War",109 min,6.5,68
Smurfs: The Lost Village,"Animation, Adventure, Comedy",90 min,6.0,40
