Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating
Awakening the Zodiac,"Crime, Drama, Mystery",100 min,4.8,0
The Man from Earth: Holocene,"Drama, Fantasy, Sci-Fi",98 min,5.3,0
Viceroy's House,"Biography, Drama, History",106 min,6.7,53
Oh Lucy!,"Comedy, Drama",95 min,6.8,69
Damascus Cover,"Mystery, Thriller",93 min,5.0,36
JoJo no kimyô na bôken: Daiyamondo wa kudakenai - dai-isshô,"Action, Adventure, Fantasy",119 min,5.9,0
The Hatred,"Horror, Thriller",90 min,3.7,0
The Recall,"Action, Sci-Fi, Thriller",90 min,4.4,0
The Last Word,"Comedy, Drama",108 min,6.6,40
The Polka King,"Biography, Comedy, Drama",95 min,5.9,65
The Outcasts,Comedy,95 min,5.5,47
Keep Watching,"Horror, Thriller",89 min,4.4,0
Victor Crowley,"Comedy, Horror",83 min,5.6,0
November,"Drama, Fantasy, Horror",115 min,7.2,79
Baahubali 2: The Conclusion,"Action, Drama, Fantasy",167 min,8.3,0
Sha po lang: taam long,Action,101 min,6.6,0
Revolt,"Action, Sci-Fi, War",87 min,5.2,0
Lost in London,"Comedy, Drama",100 min,6.4,0
Lazer Team 2,Sci-Fi,86 min,6.2,0
Hindi Medium,"Comedy, Drama",132 min,7.8,0
The Black Room,"Comedy, Horror",91 min,3.4,0
Submission,Drama,106 min,5.5,52
Marjorie Prime,"Drama, Mystery, Romance",99 min,6.3,82
Gangster Land,"Action, Crime, Drama",113 min,4.5,0
Rock'n Roll,"Comedy, Drama",123 min,6.0,0
Les garçons sauvages,"Adventure, Drama, Fantasy",110 min,7.0,64
Funny Cow,"Comedy, Drama",102 min,6.5,0
Trafficked,"Drama, Thriller",104 min,5.4,38
In Harm's Way,"History, Romance, War",97 min,6.2,0
The Crucifixion,"Horror, Mystery, Thriller",90 min,5.0,0
Mad Families,Comedy,90 min,4.2,0
Love Blossoms,"Drama, Romance",80 min,6.7,0
M.F.A.,"Drama, Horror, Thriller",92 min,5.7,0
