Movie,Genre,Runtime,Imdb_Rating,Metascore_Rating,Release_date,Popularity,Votes,Director,Stars,Description
Logan,"Action, Drama, Sci-Fi",137 min,8.1,77,2017-02-28,32.53,533261,James Mangold,"Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
Life,"Horror, Sci-Fi, Thriller",104 min,6.6,54,2017-03-22,12.825,172522,Daniel Espinosa,"Jake Gyllenhaal,Rebecca Ferguson,Ryan Reynolds,Hiroyuki Sanada",A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.
Beauty and the Beast,"Family, Fantasy, Musical",129 min,7.2,65,2017-03-16,25.026,227854,Bill Condon,"Emma Watson,Dan Stevens,Luke Evans,Josh Gad","A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Transformers: The Last Knight,"Action, Adventure, Sci-Fi",154 min,5.2,27,2017-06-16,29.561,113029,Michael Bay,"Mark Wahlberg,Anthony Hopkins,Josh Duhamel,Laura Haddock","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth."
Wind River,"Crime, Drama, Mystery",107 min,7.7,73,2017-08-03,14.183,159286,Taylor Sheridan,"Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
Coco,"Animation, Adventure, Comedy",105 min,8.4,81,2017-10-27,29.669,253543,"Lee Unkrich,Adrian Molina","Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,Alanna Ubach","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Killing of a Sacred Deer,"Drama, Mystery, Thriller",121 min,7.0,73,2017-10-20,13.576,82281,Yorgos Lanthimos,"Barry G. Bernson,Herb Caillouet,Bill Camp,Raffey Cassidy","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
Hostiles,"Adventure, Drama, Western",134 min,7.2,65,2017-12-22,11.243,47771,Scott Cooper,"Scott Shepherd,Rosamund Pike,Ava Cooper,Stella Cooper","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory."
Murder on the Orient Express,"Crime, Drama, Mystery",114 min,6.5,52,2017-11-03,19.828,170722,Kenneth Branagh,"Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
What Happened to Monday,"Action, Crime, Drama",123 min,6.9,47,2017-08-18,14.369,79975,Tommy Wirkola,"Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari","In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
"I, Tonya","Biography, Comedy, Drama",120 min,7.5,77,2017-12-08,13.379,129626,Craig Gillespie,"Margot Robbie,Sebastian Stan,Allison Janney,Julianne Nicholson","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
Happy Death Day,"Horror, Mystery, Thriller",96 min,6.5,57,2017-10-12,13.144,73244,Christopher Landon,"Jessica Rothe,Israel Broussard,Ruby Modine,Charles Aitken","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
The Post,"Biography, Drama, History",116 min,7.2,83,2017-12-22,17.346,100932,Steven Spielberg,"Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk",A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.
The Death of Stalin,"Comedy, Drama, History",107 min,7.2,88,2017-10-20,11.65,56636,Armando Iannucci,"Steve Buscemi,Simon Russell Beale,Jeffrey Tambor,Andrea Riseborough","Moscow, 1953. After being in power for nearly 30 years, Soviet dictator Josef Stalin takes ill and quickly dies. Now the members of the Council of Ministers scramble for power."
Geostorm,"Action, Sci-Fi, Thriller",109 min,5.3,21,2017-10-13,19.656,74223,Dean Devlin,"Gerard Butler,Jim Sturgess,Abbie Cornish,Alexandra Maria Lara","When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone."
Alien: Covenant,"Horror, Sci-Fi, Thriller",122 min,6.4,65,2017-05-09,23.179,218431,Ridley Scott,"Michael Fassbender,Katherine Waterston,Billy Crudup,Danny McBride","The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape."
Kingsman: The Golden Circle,"Action, Adventure, Comedy",141 min,6.8,44,2017-09-20,19.286,218379,Matthew Vaughn,"Taron Egerton,Colin Firth,Mark Strong,Channing Tatum","When their headquarters are destroyed and the world is held hostage, the Kingsman's journey leads them to the discovery of an allied spy organization in the United States. These two elite secret organizations must band together to defeat a common enemy."
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",129 min,6.6,39,2017-05-23,21.154,218089,"Joachim Rønning,Espen Sandberg","Johnny Depp,Geoffrey Rush,Javier Bardem,Orlando Bloom",Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.
xXx: Return of Xander Cage,"Action, Adventure, Thriller",107 min,5.2,42,2017-01-13,18.149,75816,D.J. Caruso,"Vin Diesel,Donnie Yen,Deepika Padukone,Kris Wu","Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons."
Bright,"Action, Crime, Fantasy",117 min,6.4,29,2017-12-22,16.243,142388,David Ayer,"Will Smith,Joel Edgerton,Noomi Rapace,Edgar Ramírez",A detective must work with an Orc to find a powerful wand before evil creatures do.
Kong: Skull Island,"Action, Adventure, Fantasy",118 min,6.7,62,2017-03-08,19.89,225486,Jordan Vogt-Roberts,"Tom Hiddleston,Samuel L. Jackson,Brie Larson,John C. Reilly","A team of scientists explore an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden."
Phantom Thread,"Drama, Romance",130 min,7.5,90,2017-12-25,17.913,79961,Paul Thomas Anderson,"Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Julie Vollono","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
The Mummy,"Action, Adventure, Fantasy",110 min,5.5,34,2017-06-06,11.734,147508,Alex Kurtzman,"Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe","An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
Darkest Hour,"Biography, Drama, History",125 min,7.4,75,2017-11-22,14.901,127881,Joe Wright,"Gary Oldman,Lily James,Kristin Scott Thomas,Ben Mendelsohn","In May 1940, the fate of Western Europe hangs on British Prime Minister Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean a humiliating defeat for Britain and its empire."
Escape Room,"Horror, Thriller",81 min,4.2,0,2017-09-29,10.633,4478,Will Wernick,"Evan Williams,Annabelle Stephenson,Elisabeth Hower,Dan J. Johnson",Four best friends test their intelligence when an escape room they participate in takes a dark and twisted turn.
Escape Room,"Horror, Thriller",81 min,4.2,0,2017-09-29,10.633,1686,Peter Dukes,"Skeet Ulrich,Sean Young,Christine Donlon,Randy Wayne","four friends who partake in a popular Los Angeles escape room, owned by Brice (Ulrich), and find themselves stuck with a demonically possessed killer. Sean Young plays the keeper of a box ...                See full summary »"
The Disaster Artist,"Biography, Comedy, Drama",104 min,7.4,76,2017-03-12,11.66,105163,James Franco,"James Franco,Dave Franco,Ari Graynor,Seth Rogen","When Greg Sestero, an aspiring film actor, meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true."
Atomic Blonde,"Action, Mystery, Thriller",115 min,6.7,63,2017-07-26,20.142,143232,David Leitch,"Charlize Theron,James McAvoy,John Goodman,Eddie Marsan",An undercover MI6 agent is sent to Berlin during the Cold War to investigate the murder of a fellow agent and recover a missing list of double agents.
Gerald's Game,"Drama, Horror, Thriller",103 min,6.6,77,2017-09-19,11.366,60235,Mike Flanagan,"Carla Gugino,Bruce Greenwood,Chiara Aurelia,Carel Struycken","While trying to spice up their marriage in their remote lake house, Jessie must fight to survive when her husband dies unexpectedly, leaving her handcuffed to their bed frame."
Downsizing,"Drama, Sci-Fi",135 min,5.7,63,2017-12-22,14.17,70557,Alexander Payne,"Matt Damon,Christoph Waltz,Hong Chau,Kristen Wiig","A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor."
Fifty Shades Darker,"Drama, Romance",118 min,4.6,33,2017-02-08,17.203,78441,James Foley,"Dakota Johnson,Jamie Dornan,Eric Johnson,Eloise Mumford","While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
Valerian and the City of a Thousand Planets,"Action, Adventure, Fantasy",137 min,6.5,51,2017-07-20,20.285,133867,Luc Besson,"Dane DeHaan,Cara Delevingne,Clive Owen,Rihanna","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
Pitch Perfect 3,"Comedy, Music",93 min,5.8,40,2017-12-20,14.574,41720,Trish Sie,"Anna Kendrick,Rebel Wilson,Brittany Snow,Anna Camp","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
Revenge,"Action, Horror, Thriller",108 min,6.3,81,2017-09-10,19.32,23364,Coralie Fargeat,"Matilda Anna Ingrid Lutz,Kevin Janssens,Vincent Colombe,Guillaume Bouchède","Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men."
King Arthur: Legend of the Sword,"Action, Adventure, Drama",126 min,6.8,41,2017-05-10,18.956,162139,Guy Ritchie,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou","Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not."
The Fate of the Furious,"Action, Crime, Thriller",136 min,6.7,56,2017-04-12,34.755,173436,F. Gary Gray,"Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before."
The Ritual,"Horror, Mystery, Thriller",94 min,6.3,57,2017-10-11,9.809,49240,David Bruckner,"Rafe Spall,Arsher Ali,Robert James-Collier,Sam Troughton","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them."
Logan Lucky,"Comedy, Crime, Drama",118 min,7.0,78,2017-08-17,14.633,101070,Steven Soderbergh,"Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie",Two brothers attempt to pull off a heist during a NASCAR race in North Carolina.
The Hitman's Bodyguard,"Action, Comedy, Thriller",118 min,6.9,47,2017-08-16,17.089,154497,Patrick Hughes,"Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung","The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time."
Ghost in the Shell,"Action, Drama, Sci-Fi",107 min,6.4,52,2017-03-29,21.039,168595,Rupert Sanders,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,Juliette Binoche","In the near future, Major Mila Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
The Florida Project,Drama,111 min,7.6,92,2017-10-06,14.112,66846,Sean Baker,"Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World."
The Lego Batman Movie,"Animation, Action, Comedy",104 min,7.3,75,2017-02-08,14.704,109858,Chris McKay,"Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
